[INFO ] [2021-12-01 13:33:18,294] TelephoneFieldCannotHaveSpaces - step 01: Click New Customer link
[INFO ] [2021-12-01 13:33:18,479] TelephoneFieldCannotHaveSpaces - step 02: Input data to telephone textbox
[INFO ] [2021-12-01 13:33:18,556] TelephoneFieldCannotHaveSpaces - step 03: Verify telephone message
[INFO ] [2021-12-01 13:33:18,590]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-12-01 13:33:18,593] TelephoneFieldCannotHaveSpecialCharacter - step 01: Click New Customer link
[INFO ] [2021-12-01 13:33:18,776] TelephoneFieldCannotHaveSpecialCharacter - step 02: Input data to telephone textbox
[INFO ] [2021-12-01 13:33:18,853] TelephoneFieldCannotHaveSpecialCharacter - step 03: Verify telephone message
[INFO ] [2021-12-01 13:33:18,886]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-12-01 13:33:18,886] TelephoneFieldCannotHaveSpecialCharacter - step 04: Input data to telephone textbox
[INFO ] [2021-12-01 13:33:18,946] TelephoneFieldCannotHaveSpecialCharacter - step 05: Verify telephone message
[INFO ] [2021-12-01 13:33:18,973]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-12-01 13:33:18,975] EmailFieldCannotBeEmpty - step 01: Click New Customer link
[INFO ] [2021-12-01 13:33:19,175] EmailFieldCannotBeEmpty - step 02: Click Tab keybord focus out email textbox
[INFO ] [2021-12-01 13:33:19,319] EmailFieldCannotBeEmpty - step 03: Verify email message
[INFO ] [2021-12-01 13:33:19,356]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-12-01 13:33:19,358] EmailFieldMustBeInCorrectFormat - step 01: Click New Customer link
[INFO ] [2021-12-01 13:33:19,536] EmailFieldMustBeInCorrectFormat - step 02: Input data to email textbox
[INFO ] [2021-12-01 13:33:19,619] EmailFieldMustBeInCorrectFormat - step 03: Verify email message
[INFO ] [2021-12-01 13:33:19,651]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-12-01 13:33:19,651] EmailFieldMustBeInCorrectFormat - step 04: Input data to email textbox
[INFO ] [2021-12-01 13:33:19,712] EmailFieldMustBeInCorrectFormat - step 05: Verify email message
[INFO ] [2021-12-01 13:33:19,740]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-12-01 13:33:19,740] EmailFieldMustBeInCorrectFormat - step 05: Input data to email textbox
[INFO ] [2021-12-01 13:33:19,802] EmailFieldMustBeInCorrectFormat - step 07: Verify email message
[INFO ] [2021-12-01 13:33:19,832]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-12-01 13:33:19,832] EmailFieldMustBeInCorrectFormat - step 08: Input data to email textbox
[INFO ] [2021-12-01 13:33:19,897] EmailFieldMustBeInCorrectFormat - step 09: Verify email message
[INFO ] [2021-12-01 13:33:19,924]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-12-01 13:33:19,924] EmailFieldMustBeInCorrectFormat - step 10: Input data to email textbox
[INFO ] [2021-12-01 13:33:19,991] EmailFieldMustBeInCorrectFormat - step 11: Verify email message
[INFO ] [2021-12-01 13:33:20,017]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-12-01 13:33:20,019] EmailFieldMustBeInCorrectFormat - step 01: Click New Customer link
[INFO ] [2021-12-01 13:33:20,199] EmailFieldMustBeInCorrectFormat - step 02: Input data to email textbox
[INFO ] [2021-12-01 13:33:20,284] EmailFieldMustBeInCorrectFormat - step 03: Verify email message
[INFO ] [2021-12-01 13:33:50,759] AllFieldLabelsAreAsRequirement - step 01: Click New Customer link
[INFO ] [2021-12-01 13:33:50,990] AllFieldLabelsAreAsRequirement - step 02: Click submit button
[INFO ] [2021-12-01 13:33:51,049] AllFieldLabelsAreAsRequirement - step 03: Verify alert message
[INFO ] [2021-12-01 13:33:51,053]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-12-01 13:33:51,053] AllFieldLabelsAreAsRequirement - step 04: Click OK button in alert
[INFO ] [2021-12-01 13:33:51,061] OS name = windows 10
[INFO ] [2021-12-01 13:33:51,062] Driver instance name = windows 10
[INFO ] [2021-12-01 13:33:51,764] --------------------------- END TEST ---------------------------
[DEBUG] [2021-12-01 13:33:51,953] Couldn't find template in cache for "v3html/v3-html-index.ftl"("en", UTF-8, parsed); will try to load it.
[DEBUG] [2021-12-01 13:33:51,954] TemplateLoader.findTemplateSource("v3html/v3-html-index_en.ftl"): Not found
[DEBUG] [2021-12-01 13:33:51,955] TemplateLoader.findTemplateSource("v3html/v3-html-index.ftl"): Found
[DEBUG] [2021-12-01 13:33:51,955] Loading template for "v3html/v3-html-index.ftl"("en", UTF-8, parsed) from "jar:file:/C:/Users/PhuongHM/.m2/repository/com/aventstack/extentreports/4.0.9/extentreports-4.0.9.jar!/com/aventstack/extentreports/view/v3html/v3-html-index.ftl"
[DEBUG] [2021-12-01 13:33:52,101] Couldn't find template in cache for "v3html/v3-html-head.ftl"("en", UTF-8, parsed); will try to load it.
